Location,Row  ,Distanceft,Distancem,Rep,Type,Injury,Height
E,19,47.5,14.478,1,Non-covered,0,73
E,19,47.5,14.478,2,Non-covered,2,65
E,19,47.5,14.478,3,Non-covered,2,62
E,20,50,15.24,1,Non-covered,1,68
E,20,50,15.24,2,Non-covered,0,66
E,20,50,15.24,3,Non-covered,0,70
E,21,52.5,16.002,1,Non-covered,0,62
E,21,52.5,16.002,2,Non-covered,0,66
E,21,52.5,16.002,3,Non-covered,0,70
E,25,62.5,19.05,1,Non-covered,0,65
E,25,62.5,19.05,2,Non-covered,0,66
E,25,62.5,19.05,3,Non-covered,0,67
E,30,75,22.86,1,Non-covered,0,64
E,30,75,22.86,2,Non-covered,0,65
E,30,75,22.86,3,Non-covered,0,66
E,35,87.5,26.67,1,Non-covered,0,66
E,35,87.5,26.67,2,Non-covered,0,71
E,35,87.5,26.67,3,Non-covered,0,70
E,40,100,30.48,1,Non-covered,0,69
E,40,100,30.48,2,Non-covered,0,67
E,40,100,30.48,3,Non-covered,0,70
E,45,112.5,34.29,1,Non-covered,0,66
E,45,112.5,34.29,2,Non-covered,0,64
E,45,112.5,34.29,3,Non-covered,0,61
E,50,125,38.1,1,Non-covered,0,66
E,50,125,38.1,2,Non-covered,0,63
E,50,125,38.1,3,Non-covered,0,62
E,55,137.5,41.91,1,Non-covered,0,52
E,55,137.5,41.91,2,Non-covered,0,56
E,55,137.5,41.91,3,Non-covered,0,73
W,1,2.5,0.762,1,Covered,45,62
W,1,2.5,0.762,2,Covered,40,67
W,1,2.5,0.762,3,Covered,55,51
W,2,5,1.524,1,Covered,1,64
W,2,5,1.524,2,Covered,1,55
W,2,5,1.524,3,Covered,0,40
W,3,7.5,2.286,1,Covered,1,65
W,3,7.5,2.286,2,Covered,1,65
W,3,7.5,2.286,3,Covered,1,59
W,4,10,3.048,1,Covered,0,62
W,4,10,3.048,2,Covered,0,68
W,4,10,3.048,3,Covered,2,69
W,5,12.5,3.81,1,Covered,2,63
W,5,12.5,3.81,2,Covered,0,64
W,5,12.5,3.81,3,Covered,1,65
W,6,15,4.572,1,Covered,0,60
W,6,15,4.572,2,Covered,2,61
W,6,15,4.572,3,Covered,2,57
W,7,17.5,5.334,1,Covered,1,70
W,7,17.5,5.334,2,Covered,1,62
W,7,17.5,5.334,3,Covered,4,53
W,8,20,6.096,1,Covered,0,56
W,8,20,6.096,2,Covered,0,67
W,8,20,6.096,3,Covered,0,65
